epoch,batch,train_loss,train_accuracy
0,0,3.4716427,0.03125
1,1,3.7295587,0.03125
1,2,3.5458925,0.09375
1,3,3.7071187,0.03125
1,4,3.449277,0.03125
1,5,3.3648918,0.09375
1,6,3.3813365,0.125
1,7,3.4279404,0.03125
1,8,3.5198362,0.09375
1,9,3.2689307,0.0625
1,10,3.200478,0.1875
1,11,3.1721895,0.125
1,12,3.4275303,0.0625
1,13,3.3709376,0.0625
1,14,2.9695072,0.1875
1,15,3.1972978,0.15625
1,16,2.930107,0.28125
1,17,3.1033347,0.125
1,18,3.059555,0.125
1,19,2.9376688,0.25
1,20,3.081429,0.1875
1,21,3.1939228,0.125
1,22,3.009412,0.1875
1,23,2.8491583,0.21875
1,24,3.020892,0.125
1,25,2.8801215,0.21875
1,26,3.0041492,0.15625
1,27,2.826979,0.21875
1,28,2.6370184,0.375
1,29,2.910325,0.25
1,30,2.7728388,0.25
1,31,2.8438382,0.21875
1,32,2.5898006,0.40625
1,33,2.7679002,0.21875
1,34,2.6594236,0.25
1,35,2.8802247,0.125
1,36,2.5515168,0.34375
1,37,2.6803565,0.3125
1,38,2.5224574,0.4375
1,39,2.5250828,0.5
1,40,2.2608461,0.5
1,41,2.6374574,0.3125
1,42,2.328176,0.4375
1,43,2.589784,0.34375
1,44,2.502031,0.34375
1,45,2.236043,0.53125
1,46,2.2546587,0.5625
1,47,2.302675,0.5625
1,48,2.5872626,0.375
1,49,2.3675742,0.34375
1,50,2.2072377,0.5
1,51,2.2858875,0.46875
1,52,2.2075741,0.5
1,53,2.2600427,0.4375
1,54,2.352967,0.375
1,55,2.227596,0.5
1,56,2.3062007,0.40625
1,57,1.882786,0.625
1,58,2.1002116,0.5
1,59,2.114043,0.59375
1,60,2.0998683,0.625
1,61,2.285454,0.375
1,62,2.2139487,0.5
1,63,2.1263516,0.53125
1,64,1.6839556,0.71875
1,65,2.3518236,0.3125
1,66,2.2033522,0.4375
1,67,1.9930385,0.625
1,68,2.1245854,0.53125
1,69,2.1807628,0.53125
1,70,2.1264548,0.5
1,71,1.9752448,0.625
1,72,1.7471871,0.6875
1,73,1.8442025,0.625
1,74,1.9675725,0.6875
1,75,1.6665294,0.625
1,76,2.0583415,0.46875
1,77,1.9685662,0.5625
1,78,1.9166057,0.6875
1,79,1.682938,0.65625
1,80,1.8415421,0.59375
1,81,1.8545823,0.53125
1,82,1.8637042,0.5625
1,83,1.6201249,0.625
1,84,1.6174406,0.625
1,85,1.7467343,0.625
1,86,1.8832057,0.625
1,87,1.7948761,0.5625
1,88,1.5718184,0.78125
1,89,1.9303033,0.5625
